-3.449301999999999868e+00 -5.648126999999999676e+00
-3.475242000000000164e+00 -5.647211000000000425e+00
-3.471884999999999888e+00 -5.641108000000000011e+00
-3.442588000000000203e+00 -5.645686000000000426e+00
-3.455405999999999977e+00 -5.647821999999999676e+00
-3.489586000000000077e+00 -5.658197999999999617e+00
-3.476462999999999859e+00 -5.642939000000000149e+00
-3.495384000000000047e+00 -5.653315000000000090e+00
-3.476767999999999859e+00 -5.632258000000000209e+00
-3.503928999999999849e+00 -5.634394000000000347e+00
-3.510337999999999958e+00 -5.642939000000000149e+00
-3.495689000000000046e+00 -5.651483999999999952e+00
-3.476767999999999859e+00 -5.646296000000000426e+00
-3.512474000000000096e+00 -5.653620000000000090e+00
-3.471884999999999888e+00 -5.641718000000000011e+00
-3.492027000000000214e+00 -5.636529999999999596e+00
-3.492027000000000214e+00 -5.631952000000000069e+00
-3.491722000000000214e+00 -5.626153999999999655e+00
-3.494469000000000047e+00 -5.630425999999999931e+00
-3.530479999999999841e+00 -5.643549000000000149e+00
-3.526513000000000009e+00 -5.613641999999999577e+00
-3.529869999999999841e+00 -5.626458999999999655e+00
-3.510642999999999958e+00 -5.618523999999999852e+00
-3.525291999999999870e+00 -5.610590000000000188e+00
-3.502403000000000155e+00 -5.619744999999999990e+00
-3.516135999999999928e+00 -5.614861999999999576e+00
-3.523766000000000176e+00 -5.603875999999999635e+00
-3.517967000000000066e+00 -5.624628000000000405e+00
-3.520713999999999899e+00 -5.620966000000000129e+00
-3.550622000000000167e+00 -5.612421000000000326e+00
-3.539940000000000087e+00 -5.622187000000000268e+00
-3.547264999999999890e+00 -5.610590000000000188e+00
-3.535057999999999812e+00 -5.620966000000000129e+00
-3.540245999999999782e+00 -5.609979000000000049e+00
-3.536888999999999950e+00 -5.610590000000000188e+00
-3.540245999999999782e+00 -5.615777999999999714e+00
-3.566796000000000078e+00 -5.622492000000000267e+00
-3.544518000000000058e+00 -5.610285000000000188e+00
-3.585106999999999822e+00 -5.602655000000000385e+00
-3.575035999999999881e+00 -5.595940999999999832e+00
-3.582054999999999989e+00 -5.595330999999999833e+00
-3.582971000000000128e+00 -5.586481000000000030e+00
-3.583276000000000128e+00 -5.585259999999999891e+00
-3.594873000000000207e+00 -5.585564999999999891e+00
-3.594873000000000207e+00 -5.588006000000000029e+00
-3.577173000000000158e+00 -5.586481000000000030e+00
-3.609827000000000119e+00 -5.568780000000000285e+00
-3.585106999999999822e+00 -5.565423000000000009e+00
-3.620508000000000060e+00 -5.570001000000000424e+00
-3.597925000000000040e+00 -5.560844999999999594e+00
-3.612878999999999952e+00 -5.557183000000000206e+00
-3.597313999999999901e+00 -5.563591999999999871e+00
-3.602196999999999871e+00 -5.557183000000000206e+00
-3.622949999999999893e+00 -5.566949000000000147e+00
-3.584801999999999822e+00 -5.568475000000000286e+00
-3.628747999999999863e+00 -5.560539999999999594e+00
-3.628442999999999863e+00 -5.562981999999999871e+00
